20080722,entertainment rights owner postman pat franchise signed licensing deals merchandising dvd sales china fortnight series began broadcasting countrys national cctv childrens channel chinas onechild policy potential boost means adults willing fork toys dvds children family wednesday shares expected extend rally previous sessions brief setback crude prices fell sixweek low easing concerns impact higher energy costs financial times wall street journal carried asia print andor web site editions wednesday broadcom corp makes chips mobile phones network equipment consumer electronics tuesday quarterly profit revenue beat expectations martha graybow columnist opinions expressed toronto stock exchanges main index finished lower tuesday trimmed earlier steep losses rise financials offset drop resource issues hit tumbling commodity prices
20080723,thursday dow pct pct nasdaq pct updates house representatives approval housing plan amazon share move bell dow pct pct nasdaq pct updates close dow pct pct nasdaq pct updates early afternoon changes byline top phone att posted wednesday higher quarterly profit strongerthanexpected growth wireless subscribers compensated shrinking landline business martha graybow columnist opinions expressed dow pct pct nasdaq pct updates midday changes byline global revenues mobile data services seen exceeding billion billion driven expansion advanced networks popular webbrowsing devices like apples iphone dow pct pct nasdaq pct updates midmorning updates show rising percent updates show stocks rising nasdaq percent powerchip nanya technology taiwans largest dram makers racked fifth consecutive quarter losses apriljune period wednesday struggled falling chip prices
20080724,friday amazoncom shares rose high percent thursday online retailers strong secondquarter revenue profit relieved wary wall street bruised recent disappointing results consumer companies chipmaker sirf technology holdings posted widerthanexpected secondquarter loss hurt weak demand certain customers increased competition economic uncertainties sending shares percent home sales data dulls rescue plan optimism price oil rises weighing retailers airlines dow pct pct nasdaq pct solar international incs shares nearly percent afternoon trade solar energy equipment makers market debut thursday day initial public offering priced midpoint forecast range martha graybow columnist opinions expressed dow pct pct nasdaq dow pct nasdaq pct updates midday changes byline dow pct nasdaq pct pct updates early morning britains film industries launched fight back online piracy thursday persuading six biggest internet providers send warning letters suspected illegal filesharing morgan securities downgraded att neutral overweight expects deterioration wireline fundamentals phone mobistar belgiums secondbiggest mobile phone operator reported firsthalf figures market expectations thursday raised forecasts full sending shares upwards
20080725,netflix shares rose friday bymail dvd companys better thanexpected secondquarter profit raised forecast eased concerns analysts higher costs related expansion providing streamed content mobile phone makers taken big hit slowing global economy drains demand must hope consumers emerging markets upgrade expensive models dont choose iphone
20080726,researchers working artificial pancreas believe years away nearly carefree way people diabetes monitor blood inject insulin needed
20080727,monday
20080728,tuesday refiles fix final paragraph read declining stocks outnumbered advancing ones half secondquarter corporate earnings reporting season recovery profits second half looking increasingly unlikely dow pct pct nasdaq pct updates afternoon changes byline dow pct pct nasdaq pct updates midday indias hdfc bank beat forecasts percent jump quarterly profit lifted acquisition smaller rival centurion bank punjab senior official upbeat loan demand profit growth
20080729,wednesday navigational device maker garmin post secondquarter profit line wall street estimates driven good demand devices united states even pricing margin concerns persist rogers communications tuesday swung secondquarter profit stiff competition slowdown wireless market stifled growth mobile phone business sending shares lower adds comments ceo analyst details updates share price scottish chipmaker wolfson microelectronics planning slash cost base cut jobs edinburgh headquarters combat consumer downturn chief executive dave shrigley tuesday
20080730,thursday recasts adds comments conference call updates stock price ntt docomo japans top mobile phone operator wednesday quarterly profit jumped percent slashed incentives handsets kept fullyear forecast modest growth
20080731,friday venture capital firm kleiner perkins caufield byers invested first round financing ngmoco publisher games incs iphone expansion accelerated modestly second quarter government stimulus payments helped consumers add buying punch economy commerce department report thursday showed olympic movement digital revolution armed doubleedged sword lured younger generation away sport could open olympic experience far wider audience prospects federal reserve start raising interest rates next months fell sharply thursday weak reading secondquarter growth spike number americans filing unemployment benefits international media told completely free access internet arrived report beijing olympics ioc press chief kevan gosper told thursday british telecoms group carphone warehouse plc cut forecast broadband customers blaming slowdown consumer spending plunge number people moving house electronics wednesday fall start selling bluray dvd player allow netflix members watch many films episodes streamed directly web sets
20080801,york guitarrock built spill announced fall tour fans took notice thats rather typical jaunt around country promoting album threemonth trek find performing release perfect entirety throughout united states europe denvernashville satellite radio broadcasters completed merger july formed sirius radio combined face host challenges navigating digital landscape york randy newmans shockandawshucks wit joyfully scathing times harps angels hard believe nine years last album material sarcastic advice undocumented immigrants laugh happy cleverly camouflaged giddy orchestra arrangement right carl stallings warner bros cartoon playbook korean parents also features big orchestra comic critique public education family responsib international media told completely free access internet arrived report beijing olympics ioc press chief kevan gosper told thursday
20080803,monday denvernashville satellite radio broadcasters completed merger july formed sirius radio combined face host challenges navigating digital landscape
