08-06-2009,"[' * Nikkei needs push to get to 10,000, but this week possible', 'These are some of the leading stories in Hong Kong newspapers on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy. HONG KONG ECONOMIC JOURNAL', ""Japan's Nikkei stock average edged down 0.2 percent on Tuesday, with resource-linked shares such as trading house Mitsui & Co slipping in the face of broad weakness in commodities prices."", "" * Jobs does not appear despite speculation (Adds analysts' and developer comments, details)"", 'Apple Inc is stepping up forays into a corporate business dominated by Microsoft Corp and PC makers like Dell Inc, by ensuring its new Mac operating system can gain smooth access to enterprise email, just as Outlook can.', 'Apple Inc is stepping up forays into a corporate business dominated by Microsoft Corp and PC makers like Dell Inc , by ensuring its new Mac operating system can gain smooth access to enterprise email, just as Outlook can.', 'Shares of Palm Inc slipped on Monday amid concerns that early sales of its highly anticipated new phone, the Pre, fell short of expectations and that its launch may be overshadowed by supply constraints.', ""Apple Inc halved the price of its entry-level iPhone to $99 on Monday in a move that could widen the trendy device's mass-market appeal as competition for smartphones heats up."", ""Apple Inc unveiled a swath of new products, from iPhones to computers, at its annual Worldwide Developers' Conference on Monday.""]"
08-06-2009,"[""Apple Inc halved the price of its entry-level iPhone to $99 on Monday in a move that could widen the trendy device's mass-market appeal as competition for smartphones heats up."", "" * Jobs does not appear despite speculation (Adds AT&T response, analysts' comment)"", ' * Ireland downgrade hits euro, U.S. dollar extends rally (Adds close of U.S. markets)', 'AT&T Inc said it will halve the price of the existing iPhone from Apple Inc starting on Monday evening and start selling a new version of the phone on June 19 without impacting its profit targets.', ' * AT&T sticks by mobile margin target in low 40 pct range', 'Shares of Palm Inc fell nearly 9 percent on Monday amid concerns that early sales of its highly anticipated new phone, the Pre, fell short of expectations and that its launch might be overshadowed by supply constraints.', ""A surprise appearance by Apple Inc Chief Executive Steve Jobs at the company's annual developer conference could boost its stock on Monday, but his absence might trigger a bigger move in the other direction."", 'Shares of Apple Inc tumbled more than 3 percent to a session low of $139.57 on Monday after CNBC reported that the company would introduce ""aggressively"" lowered price-points for its newest iPhone.', 'Digital 3D looks set to be a key revenue earner for businesses from cinema chains to software developers as companies bank on the fast-improving format ushering in a new age of entertainment.', ' * Nintendo virtually flat in past 3 months; Nikkei up 38 pct']"
09-06-2009,"['These are some of the leading stories in Hong Kong newspapers on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy. HONG KONG ECONOMIC JOURNAL', ""Apple Inc's price cut for its year-old iPhone takes direct aim at the days-old Pre smartphone from Palm Inc, but it could also shake up other rivals by setting a new low benchmark for phone prices."", ""Seoul shares opened firm on Wednesday, led by technology issues after their U.S. peers' gains, with Samsung SDI rising after a report the company is set to supply lithium laptop batteries to Apple Inc ."", ""Apple Inc's price cut for its year-old iPhone takes direct aim at the days-old Pre smartphone from Palm Inc , but it could also shake up other rivals by setting a new low benchmark for phone prices."", 'The following is a summary of major South Korean newspapers on Wednesday, prepared by Reuters in Seoul. Reuters has not checked the stories and does not guarantee their accuracy.', ""Microsoft Corp issued software to fix a record 31 security flaws in its programs, and Adobe Systems Inc warned that glitches in its products could let hackers take control of a user's PC."", ' * Affects Microsoft Windows, Office, data center programs', '-- Eric Auchard is a Reuters columnist. The opinions expressed are his own --']"
09-06-2009,"[""Apple Inc halved the price of its entry-level iPhone to $99 on Monday to widen the trendy device's mass-market appeal, as global competition heats up after Palm Inc launched the Pre."", '  * Products available for new iPhone software version', 'The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.', ' (Adds Latvian Fin Min comments, Finnair passenger numbers)', ' * Nikkei may hit 10,000 soon but unlikely to keep level', 'The following were the top stories in the New York Times business pages on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.', 'The following were the top stories in The Wall Street Journal on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.', 'The following stocks may be affected by newspaper reports and other factors on Tuesday:', 'The following company announcements, scheduled economic indicators, debt and currency market moves and political events may affect South African markets on Tuesday.', ""Japan's Nikkei average fell 1 percent on Tuesday, as exporter shares such as Sony Corp ran out of steam after leading the benchmark to an eight-month closing high the previous day.""]"
10-06-2009,"[' * Palm shares up 3.4 percent after closing down 5.6 pct (Adds analyst comment, background on Palm, new Pre, Elevation)', ""Will digital downloads kill the video games store? That's the multibillion dollar question facing retailers from Wal-Mart Stores Inc and Target Corp to GameStop Corp, as Internet distributors continue to grow."", 'Palm Inc named Jon Rubinstein as its CEO on Wednesday, hoping the former Apple executive can usher in a new era for the company seeking to revive its fortunes with a fresh smartphone launched last weekend.', ' * Palm shares up 3.4 percent after closing down 5.6 pct (Adds analyst comment, background, byline)', 'Nathan Barr has scored horror films like ""Hostel"" and the HBO vampire series ""True Blood,"" but what really keeps the composer up at night is fear he will not get paid for music distributed online.', 'Will digital downloads kill the video games store?', 'Google Inc has received formal notice from the U.S. Justice Department that antitrust investigators are looking into its settlement with publishers that would help make millions of books available online.', ' * Justice Dept said also to ask publisher for information', ' * Dow off 0.2 pct, S&P 500 off 0.4 pct, Nasdaq off 1 pct']"
10-06-2009,"['Top global PC monitor maker TPV Technology on Wednesday said it is developing a low-cost, all-in-one desktop PC optimised for the Internet, in a bid to replicate the success of low-cost portable PCs known as netbooks.', 'The following Spanish stocks may be affected by newspaper reports and other factors on Wednesday. Reuters has not verified the newspaper reports, and cannot vouch for their accuracy:']"
11-06-2009,"[' * Q4 revenue $280.8 million vs Street view $274.3 million', 'Countering pressure from European regulators, Microsoft Corp plans to ship the newest version of its Windows operating system in Europe without its Internet Explorer web browser.', ' * Microsoft shares up, Google down (Adds European Commission reaction)', ""The U.S. government's new technology czar said on Thursday that new mobile phone applications could spur private investment in high-speed Internet connections, but Washington would also play a leadership role.""]"
11-06-2009,"['Palm Inc named Jon Rubinstein its CEO on Wednesday, hoping the former Apple executive will usher in a new era for a company seeking to revive its fortunes with a fresh smartphone launched last weekend.', ' * Dow up 0.8 pct, S&P up nearly 1 pct, Nasdaq up 0.7 pct', ' * For up-to-the-minute market news click [STXNEWS/US] (Updates to mid morning)', ""Retailers who scoffed at the web during the flush days of consumer spending are now diving head first into online initiatives, lured by that channel's resilience in the downturn."", '-- Eric Auchard is a Reuters columnist. The opinions expressed are his own --', ""Will digital downloads kill the videogames store? That's the multibillion dollar question facing retailers from Wal-Mart Stores Inc and Target Corp to GameStop Corp, as Internet distributors continue to grow."", 'The following were the top stories in the New York Times business pages on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.', ""LG Electronics Inc , the world's third-largest mobile phone maker, will maintain its global market share target at 10 percent for this year and aims to become No.2 by 2012, the head of its handset business said on Thursday."", 'The following were the top stories in The Wall Street Journal on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.']"
12-06-2009,"['Personal computer makers are increasingly prioritizing ""green"" strategies, creating a pivotal point of competition for customers that are becoming more attuned to their financial -- and societal -- benefits.', ' * Dow up 0.3 pct, S&P up 0.1 pct, Nasdaq off 0.2 pct']"
12-06-2009,"[' * Nasdaq off 1 pct, Dow off 0.03 pct, S&P off 0.3 pct', 'It is a little bit early to tag a must-give gift for the 2009 holiday season, but one thing seems clear in the recession: Cheap, or at least cheaper, will be chic.', ' * Indexes off: S&P 500 0.5 pct, Dow 0.3, Nasdaq 1.2', 'Nokia is better equipped than rival TomTom to wait out a downturn that has made big acquisitions by the two groups in mapping services look disastrously costly.', '  * Nokia, TomTom struggling with mapping buys from last year']"
